title,release,synopsis,seasons,episodes,genres,img_path
Moon Knight,2022,"When Steven Grant, a mild-mannered gift-shop employee, becomes plagued with blackouts and memories of another life, he discovers he has dissociative identity disorder and shares a body with mercenary Marc Spector. As Steven/Marc’s enemies converge upon them, they must navigate their complex identities while thrust into a deadly mystery among the powerful gods of Egypt.",1,6,"Action & Adventure, Sci-Fi & Fantasy, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/x6FsYvt33846IQnDSFxla9j0RX8.jpg
Halo,2022,"Depicting an epic 26th-century conflict between humanity and an alien threat known as the Covenant, the series weaves deeply drawn personal stories with action, adventure and a richly imagined vision of the future.",1,9,"Action & Adventure, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/nJUHX3XL1jMkk8honUZnUmudFb9.jpg
7 Hari Mencintaiku,2020,"Khuzairi Samad is a humble, dearly respected, filial son, one who always put his loved ones happiness before him who is secretly in love with Mia Adriana an arrogant, insolent, disdain person who always thinks less of other people.",3,30,"Drama, Family",https://image.tmdb.org/t/p/w600_and_h900_bestv2/uK0SsAWWdZ6XsvGKmzskf6VMS0l.jpg
Hidden Passion,2003,The Reyes-Elizondo's idyllic lives are shattered by a murder charge against Eric and León.,2,56,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/lWlsZIsrGVWHtBeoOeLxIKDd9uy.jpg
Chain Reaction,2021,"Chain Reaction is an American game show created by Bob Stewart, in which players compete to form chains composed of two-word phrases.",3,30,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/xhjoXm1WEvfQGYBGXKk8xk75z6s.jpg
Robinson,1997,"Expedition Robinson is a Swedish reality television program in which contestants are put into survival situations, and a voting process eliminates one person each episode until a winner is determined. The format was developed in 1994 by Charlie Parsons for a United Kingdom TV production company called Planet 24, but the Swedish debut in 1997 was the first production to actually make it to television.",21,36,Reality,https://image.tmdb.org/t/p/w600_and_h900_bestv2/sWA0Uo9hkiAtvtjnPvaqfnulIIE.jpg
Lisa,2021,We don't have an overview translated in English. Help us expand our database by adding one.,3,61,"Drama, Family",https://image.tmdb.org/t/p/w600_and_h900_bestv2/w2nOl7KhwcUj11YxEi9Nknj9cqu.jpg
Casados à Primeira Vista,2018,"By scientists and relationship specialists, some Portuguese singles are placed in couples and meet for the first time in their own marriage. After that, they will go on a honeymoon, they will live together in a house and they are going out together and with their families and friends for the purpose of testing their relationship and discovering if love arises between them. In the end, the ultimate decision will be made: will they continue their lives together and married, or will their ways separate and divorce?",3,35,Reality,https://image.tmdb.org/t/p/w600_and_h900_bestv2/j5unA87lac80OJtnkcEKxwgodHT.jpg
The Broken Marriage Vow,2022,"A seemingly perfect home gets shattered by broken trust and infidelity, bringing forth catastrophic effects into the lives of the couple, their son, and everyone else involved. This is a story about a woman scorned.",2,14,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/jfWdh5oAUYBa6G0WeRouPkdGkUl.jpg
Bunt!,2022,We don't have an overview translated in English. Help us expand our database by adding one.,1,68,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/zkeikojLJGPKe4hOVuJCj7t2GzS.jpg
Pantanal,2022,"After the mysterious disappearance of his father, Joventino, the cowboy José Leôncio becomes a wealthy farm owner in Pantanal. Over twenty years have passed and, bitter-hearted because of his father vanishing and the escape of his wife to Rio de Janeiro with his baby, José Leôncio has the chance to make amends with the boy, now a young man raised in the big city with very different values and habits than his own.",1,60,"Drama, Soap",https://image.tmdb.org/t/p/w600_and_h900_bestv2/4Ru1BwcAKWtpM345dWe8YgHf35V.jpg
Wheel of Fortune,1983,"This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",39,175,Family,https://image.tmdb.org/t/p/w600_and_h900_bestv2/2fvAIyVfFHQdhJ7OsJWuMlF7836.jpg
The Marked Heart,2022,This new Colombian telenovela is about a man who has to watch his wife die and have her heart extracted to give to another woman. He’s out for revenge in the world of organ trafficking.,1,14,"Soap, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/M1q0HuyRnqxP8Si54srsPREFIH.jpg
Por Ti,2022,We don't have an overview translated in English. Help us expand our database by adding one.,1,50,,https://image.tmdb.org/t/p/w600_and_h900_bestv2/7GmlOYoR2GNiBRFs47azHIcqncR.jpg
